gamma,amp_1e2,amp_1e3,amp_1e4,amp_1e5,amp_closed,rel_err
2.000000000000e-01,1.723383220266e-01,1.718409381543e-01,1.717927426481e-01,1.717879363155e-01,1.717874038449e-01,3.099590564437e-06
4.000000000000e-01,2.702652322785e-01,2.687653949495e-01,2.686183176749e-01,2.686036066101e-01,2.686019889768e-01,6.022417301965e-06
6.000000000000e-01,2.729204501171e-01,2.707352033529e-01,2.705186309901e-01,2.704967889546e-01,2.704945195166e-01,8.389959009758e-06
8.000000000000e-01,1.762880063032e-01,1.744617075960e-01,1.742803882437e-01,1.742608304248e-01,1.742599073693e-01,5.297004496363e-06
