s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
1.410934891486e-01,1.270749437309e+00,1.469760067110e+00,1.459832526299e+00,1.043522729561e+00,3.300657953409e-01
1.427612687813e-01,1.267766410477e+00,1.462867775716e+00,1.449575968330e+00,1.033758688212e+00,3.264015905782e-01
1.444290484140e-01,1.264824911718e+00,1.456087296714e+00,1.439509349726e+00,1.024197831448e+00,3.228199182346e-01
1.460968280467e-01,1.261923893272e+00,1.449415556141e+00,1.429627020001e+00,1.014833657278e+00,3.193179981528e-01
1.477646076795e-01,1.259062345393e+00,1.442849598400e+00,1.419923558784e+00,1.005659942895e+00,3.158931741572e-01
1.494323873122e-01,1.256239294561e+00,1.436386580430e+00,1.410393763981e+00,9.966707297070e-01,3.125429072032e-01
1.511001669449e-01,1.253453801795e+00,1.430023766218e+00,1.401032640665e+00,9.878603093198e-01,3.092647689749e-01
1.527679465776e-01,1.250704961061e+00,1.423758521648e+00,1.391835390649e+00,9.792232104121e-01,3.060564359004e-01
1.544357262104e-01,1.247991897773e+00,1.417588309634e+00,1.382797402694e+00,9.707541864337e-01,3.029156835511e-01
1.561035058431e-01,1.245313767374e+00,1.411510685550e+00,1.373914243301e+00,9.624482040662e-01,2.998403813965e-01
1.577712854758e-01,1.242669753998e+00,1.405523292914e+00,1.365181648047e+00,9.543004323917e-01,2.968284878902e-01
1.594390651085e-01,1.240059069205e+00,1.399623859318e+00,1.356595513435e+00,9.463062327200e-01,2.938780458611e-01
1.611068447412e-01,1.237480950781e+00,1.393810192586e+00,1.348151889214e+00,9.384611490266e-01,2.909871781885e-01
1.627746243740e-01,1.234934661609e+00,1.388080177147e+00,1.339846971139e+00,9.307608989599e-01,2.881540837409e-01
1.644424040067e-01,1.232419488589e+00,1.382431770606e+00,1.331677094151e+00,9.232013653780e-01,2.853770335609e-01
1.661101836394e-01,1.229934741629e+00,1.376863000499e+00,1.323638725930e+00,9.157785883784e-01,2.826543672765e-01
1.677779632721e-01,1.227479752673e+00,1.371371961230e+00,1.315728460816e+00,9.084887577880e-01,2.799844897260e-01
1.694457429048e-01,1.225053874793e+00,1.365956811160e+00,1.307943014062e+00,9.013282060822e-01,2.773658677798e-01
1.711135225376e-01,1.222656481316e+00,1.360615769861e+00,1.300279216402e+00,8.942934017051e-01,2.747970273471e-01
1.727813021703e-01,1.220286965001e+00,1.355347115507e+00,1.292734008916e+00,8.873809427629e-01,2.722765505543e-01
1.744490818030e-01,1.217944737258e+00,1.350149182403e+00,1.285304438163e+00,8.805875510686e-01,2.698030730839e-01
1.761168614357e-01,1.215629227400e+00,1.345020358637e+00,1.277987651583e+00,8.739100665134e-01,2.673752816636e-01
1.777846410684e-01,1.213339881935e+00,1.339959083856e+00,1.270780893132e+00,8.673454417447e-01,2.649919116950e-01
1.794524207012e-01,1.211076163897e+00,1.334963847151e+00,1.263681499149e+00,8.608907371315e-01,2.626517450146e-01
