ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
1.459208082696e-03,3.506745623395e-01,9.388462072538e-02,1.100237071662e-01,6.346871239056e-02,4.750327462850e-02,3.982364850428e-02,3.049367539802e-02,3.046402540631e-02
1.472719664490e-03,3.512138475354e-01,9.402827476202e-02,1.103624685452e-01,6.366363477723e-02,4.769843281816e-02,3.998691873892e-02,3.063466643502e-02,3.060460367404e-02
1.486356357189e-03,3.517539637459e-01,9.417214231141e-02,1.107022749578e-01,6.385915233386e-02,4.789439432090e-02,4.015085650725e-02,3.077631064034e-02,3.074582936378e-02
1.500119319260e-03,3.522949122696e-01,9.431622362250e-02,1.110431296526e-01,6.405526683471e-02,4.809116246395e-02,4.031546451370e-02,3.091861105771e-02,3.088770543925e-02
1.514009719898e-03,3.528366944072e-01,9.446051894376e-02,1.113850358882e-01,6.425198005884e-02,4.828874058860e-02,4.048074547330e-02,3.106157074526e-02,3.103023487746e-02
1.528028739126e-03,3.533793114619e-01,9.460502852319e-02,1.117279969338e-01,6.444929379005e-02,4.848713205027e-02,4.064670211177e-02,3.120519277563e-02,3.117342066883e-02
1.542177567890e-03,3.539227647388e-01,9.474975260828e-02,1.120720160691e-01,6.464720981688e-02,4.868634021856e-02,4.081333716550e-02,3.134948023603e-02,3.131726581717e-02
1.556457408166e-03,3.544670555454e-01,9.489469144603e-02,1.124170965842e-01,6.484572993269e-02,4.888636847730e-02,4.098065338161e-02,3.149443622833e-02,3.146177333982e-02
1.570869473058e-03,3.550121851914e-01,9.503984528290e-02,1.127632417799e-01,6.504485593557e-02,4.908722022464e-02,4.114865351802e-02,3.164006386911e-02,3.160694626761e-02
1.585414986906e-03,3.555581549889e-01,9.518521436485e-02,1.131104549675e-01,6.524458962842e-02,4.928889887311e-02,4.131734034344e-02,3.178636628973e-02,3.175278764502e-02
1.600095185384e-03,3.561049662520e-01,9.533079893729e-02,1.134587394690e-01,6.544493281892e-02,4.949140784968e-02,4.148671663741e-02,3.193334663644e-02,3.189930053015e-02
1.614911315607e-03,3.566526202972e-01,9.547659924508e-02,1.138080986168e-01,6.564588731953e-02,4.969475059582e-02,4.165678519040e-02,3.208100807042e-02,3.204648799483e-02
1.629864636241e-03,3.572011184433e-01,9.562261553253e-02,1.141585357543e-01,6.584745494753e-02,4.989893056756e-02,4.182754880375e-02,3.222935376785e-02,3.219435312466e-02
1.644956417603e-03,3.577504620114e-01,9.576884804338e-02,1.145100542356e-01,6.604963752498e-02,5.010395123557e-02,4.199901028979e-02,3.237838692004e-02,3.234289901907e-02
1.660187941776e-03,3.583006523247e-01,9.591529702078e-02,1.148626574254e-01,6.625243687876e-02,5.030981608524e-02,4.217117247185e-02,3.252811073342e-02,3.249212879138e-02
1.675560502712e-03,3.588516907089e-01,9.606196270729e-02,1.152163486993e-01,6.645585484056e-02,5.051652861670e-02,4.234403818427e-02,3.267852842971e-02,3.264204556884e-02
1.691075406345e-03,3.594035784919e-01,9.620884534488e-02,1.155711314439e-01,6.665989324688e-02,5.072409234493e-02,4.251761027248e-02,3.282964324589e-02,3.279265249273e-02
1.706733970703e-03,3.599563170038e-01,9.635594517489e-02,1.159270090565e-01,6.686455393906e-02,5.093251079982e-02,4.269189159301e-02,3.298145843440e-02,3.294395271836e-02
1.722537526015e-03,3.605099075772e-01,9.650326243805e-02,1.162839849453e-01,6.706983876326e-02,5.114178752620e-02,4.286688501356e-02,3.313397726310e-02,3.309594941520e-02
1.738487414830e-03,3.610643515469e-01,9.665079737443e-02,1.166420625298e-01,6.727574957045e-02,5.135192608397e-02,4.304259341299e-02,3.328720301543e-02,3.324864576686e-02
1.754584992127e-03,3.616196502501e-01,9.679855022346e-02,1.170012452401e-01,6.748228821646e-02,5.156293004812e-02,4.321901968140e-02,3.344113899045e-02,3.340204497121e-02
1.770831625433e-03,3.621758050261e-01,9.694652122392e-02,1.173615365176e-01,6.768945656195e-02,5.177480300881e-02,4.339616672014e-02,3.359578850293e-02,3.355615024043e-02
1.787228694936e-03,3.627328172169e-01,9.709471061391e-02,1.177229398147e-01,6.789725647242e-02,5.198754857144e-02,4.357403744187e-02,3.375115488341e-02,3.371096480103e-02
1.803777593604e-03,3.632906881664e-01,9.724311863083e-02,1.180854585950e-01,6.810568981822e-02,5.220117035674e-02,4.375263477060e-02,3.390724147832e-02,3.386649189396e-02
1.820479727306e-03,3.638494192213e-01,9.739174551139e-02,1.184490963332e-01,6.831475847456e-02,5.241567200081e-02,4.393196164169e-02,3.406405165001e-02,3.402273477464e-02
1.837336514924e-03,3.644090117303e-01,9.754059149159e-02,1.188138565153e-01,6.852446432150e-02,5.263105715520e-02,4.411202100193e-02,3.422158877689e-02,3.417969671302e-02
1.854349388482e-03,3.649694670446e-01,9.768965680671e-02,1.191797426385e-01,6.873480924395e-02,5.284732948698e-02,4.429281580956e-02,3.437985625345e-02,3.433738099365e-02
1.871519793262e-03,3.655307865178e-01,9.783894169129e-02,1.195467582112e-01,6.894579513170e-02,5.306449267883e-02,4.447434903433e-02,3.453885749036e-02,3.449579091575e-02
1.888849187929e-03,3.660929715058e-01,9.798844637911e-02,1.199149067533e-01,6.915742387937e-02,5.328255042908e-02,4.465662365749e-02,3.469859591460e-02,3.465492979324e-02
1.906339044655e-03,3.666560233668e-01,9.813817110320e-02,1.202841917960e-01,6.936969738650e-02,5.350150645179e-02,4.483964267188e-02,3.485907496946e-02,3.481480095484e-02
1.923990849244e-03,3.672199434616e-01,9.828811609580e-02,1.206546168820e-01,6.958261755746e-02,5.372136447684e-02,4.502340908194e-02,3.502029811469e-02,3.497540774409e-02
1.941806101256e-03,3.677847331533e-01,9.843828158838e-02,1.210261855653e-01,6.979618630151e-02,5.394212824999e-02,4.520792590375e-02,3.518226882655e-02,3.513675351944e-02
