gamma,slope_fitted,slope_predicted
2.000000000000e-01,7.996232508548e-01,8.000000000000e-01
4.000000000000e-01,5.995760888608e-01,6.000000000000e-01
6.000000000000e-01,3.995154320824e-01,4.000000000000e-01
8.000000000000e-01,1.994345223995e-01,2.000000000000e-01
9.500000000000e-01,4.935357482252e-02,5.000000000000e-02
