g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
8.802357683677e-01,-3.455204993843e-01,8.533844703215e-01,-5.072926094690e-01,7.797111551765e-01,-6.246515070437e-01,7.067814970484e-01,-7.072693531224e-01,4.879121913597e-04
8.801414941042e-01,-3.455708408617e-01,8.533531994990e-01,-5.073106224285e-01,7.797033784083e-01,-6.246557626353e-01,7.067799081137e-01,-7.072701469029e-01,4.902954561532e-04
8.800470830007e-01,-3.456212588884e-01,8.533218502782e-01,-5.073286803495e-01,7.796955730700e-01,-6.246600338200e-01,7.067783114173e-01,-7.072709445576e-01,4.926903622855e-04
8.799525348272e-01,-3.456717535965e-01,8.532904224573e-01,-5.073467833464e-01,7.796877390565e-01,-6.246643206549e-01,7.067767069211e-01,-7.072717461054e-01,4.950969666200e-04
8.798578493531e-01,-3.457223251184e-01,8.532589158345e-01,-5.073649315334e-01,7.796798762621e-01,-6.246686231972e-01,7.067750945871e-01,-7.072725515652e-01,4.975153262979e-04
8.797630263472e-01,-3.457729735867e-01,8.532273302070e-01,-5.073831250254e-01,7.796719845806e-01,-6.246729415047e-01,7.067734743771e-01,-7.072733609562e-01,4.999454987396e-04
8.796680655781e-01,-3.458236991342e-01,8.531956653717e-01,-5.074013639373e-01,7.796640639057e-01,-6.246772756350e-01,7.067718462524e-01,-7.072741742974e-01,5.023875416460e-04
8.795729668136e-01,-3.458745018942e-01,8.531639211250e-01,-5.074196483846e-01,7.796561141305e-01,-6.246816256462e-01,7.067702101746e-01,-7.072749916082e-01,5.048415129998e-04
8.794777298213e-01,-3.459253819999e-01,8.531320972625e-01,-5.074379784828e-01,7.796481351478e-01,-6.246859915964e-01,7.067685661046e-01,-7.072758129079e-01,5.073074710668e-04
8.793823543682e-01,-3.459763395850e-01,8.531001935794e-01,-5.074563543479e-01,7.796401268498e-01,-6.246903735440e-01,7.067669140035e-01,-7.072766382160e-01,5.097854743975e-04
8.792868402208e-01,-3.460273747834e-01,8.530682098705e-01,-5.074747760962e-01,7.796320891285e-01,-6.246947715477e-01,7.067652538320e-01,-7.072774675519e-01,5.122755818286e-04
8.791911871452e-01,-3.460784877291e-01,8.530361459298e-01,-5.074932438441e-01,7.796240218756e-01,-6.246991856663e-01,7.067635855508e-01,-7.072783009355e-01,5.147778524838e-04
8.790953949070e-01,-3.461296785567e-01,8.530040015509e-01,-5.075117577085e-01,7.796159249820e-01,-6.247036159588e-01,7.067619091201e-01,-7.072791383863e-01,5.172923457760e-04
8.789994632712e-01,-3.461809474006e-01,8.529717765267e-01,-5.075303178066e-01,7.796077983387e-01,-6.247080624846e-01,7.067602245002e-01,-7.072799799243e-01,5.198191214080e-04
8.789033920024e-01,-3.462322943959e-01,8.529394706497e-01,-5.075489242557e-01,7.795996418358e-01,-6.247125253030e-01,7.067585316511e-01,-7.072808255693e-01,5.223582393743e-04
8.788071808647e-01,-3.462837196778e-01,8.529070837117e-01,-5.075675771738e-01,7.795914553634e-01,-6.247170044739e-01,7.067568305325e-01,-7.072816753414e-01,5.249097599626e-04
8.787108296218e-01,-3.463352233815e-01,8.528746155041e-01,-5.075862766788e-01,7.795832388110e-01,-6.247215000570e-01,7.067551211042e-01,-7.072825292607e-01,5.274737437549e-04
8.786143380368e-01,-3.463868056428e-01,8.528420658176e-01,-5.076050228890e-01,7.795749920677e-01,-6.247260121127e-01,7.067534033254e-01,-7.072833873474e-01,5.300502516293e-04
8.785177058724e-01,-3.464384665977e-01,8.528094344425e-01,-5.076238159233e-01,7.795667150222e-01,-6.247305407011e-01,7.067516771553e-01,-7.072842496219e-01,5.326393447610e-04
8.784209328907e-01,-3.464902063822e-01,8.527767211682e-01,-5.076426559005e-01,7.795584075628e-01,-6.247350858829e-01,7.067499425531e-01,-7.072851161045e-01,5.352410846243e-04
8.783240188533e-01,-3.465420251330e-01,8.527439257840e-01,-5.076615429400e-01,7.795500695773e-01,-6.247396477190e-01,7.067481994775e-01,-7.072859868158e-01,5.378555329936e-04
