h,err_g0.3,err_g0.5,err_g0.7,err_g0.9
4.000000000000e-02,1.531464101439e-02,8.437700334871e-03,3.428021288343e-03,7.277003716712e-04
2.000000000000e-02,6.297380980900e-03,3.066363133861e-03,1.113166289093e-03,2.146884220859e-04
1.000000000000e-02,2.576197148509e-03,1.104486040376e-03,3.569992041779e-04,6.243984498757e-05
5.000000000000e-03,1.050821660945e-03,3.955297277600e-04,1.134614673389e-04,1.795949822379e-05
2.500000000000e-03,4.278894794912e-04,1.410915727679e-04,3.581618402925e-05,5.119739914005e-06
1.250000000000e-03,1.740549348004e-04,5.019480425480e-05,1.124725153180e-05,1.448785424025e-06
